日期Date,指数代码 Index Code,指数名称 Index Name,指数英文名称Index Name(Eng),成份券代码Constituent Code,成份券名称Constituent Name,成份券英文名称Constituent Name(Eng),交易所Exchange,交易所英文名称Exchange(Eng)
20251231,000510,中证A500,CSI A500,002891,中宠股份,"YANTAI CHINA PET FOODS CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002916,深南电路,"Shennan Circuits Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002920,德赛西威,"Huizhou Desay SV Automotive Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002938,鹏鼎控股,"Avary Holding (Shenzhen) Co., Limited",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,003816,中国广核,"CGN Power Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,300001,特锐德,Qingdao TGOOD Electric Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,300002,神州泰岳,Beijing Ultrapower Software Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,300003,乐普医疗,Lepu Medical Technology (Beijing) Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,300012,华测检测,"CENTRE TESTING INTERNATIONAL GROUP CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,300014,亿纬锂能,Eve Energy Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,300015,爱尔眼科,Aier Eye Hospital Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,300017,网宿科技,"Wangsu Science and Technology Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,300024,机器人,Siasun Robot & Automation Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,300033,同花顺,"Hithink Royalflush Information Network Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,300037,新宙邦,Shenzhen Capchem Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,300054,鼎龙股份,"Hubei Dinglong CO.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,300058,蓝色光标,"Bluefocus Data Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,300059,东方财富,East Money Information Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,300068,南都电源,Zhejiang Narada Power Source Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,300070,碧水源,Beijing Originwater Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,300073,当升科技,Beijing Easpring Material Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,300083,创世纪,Guangdong Create Century Intelligent Equipment Group Corporation Limited,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,300088,长信科技,Wuhu Token Science Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,300118,东方日升,Risen Energy Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,300122,智飞生物,Chongqing Zhifei Biological Products Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,300124,汇川技术,Shenzhen Inovance Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,300136,信维通信,Shenzhen Sunway Communication Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,300142,沃森生物,Walvax Biotechnology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,300144,宋城演艺,"SONGCHENG PERFORMANCE DEVELOPMENT CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
